,id,Nombre,Descubridor(es),Fecha,Observatorio o Sitio de observación
444,445,Edna,E. F. Coddington,2 de octubre de 1899,"Observatorio Lick, Monte Hamilton"
445,446,Aeternitas,M. F. Wolf; F. K. A. Schwassmann,27 de octubre de 1899,Observatorio de Heidelberg-Königstuhl
446,447,Valentine,M. F. Wolf; F. K. A. Schwassmann,27 de octubre de 1899,Observatorio de Heidelberg-Königstuhl
447,448,Natalie,M. F. Wolf; F. K. A. Schwassmann,27 de octubre de 1899,Observatorio de Heidelberg-Königstuhl
448,449,Hamburga,M. F. Wolf; F. K. A. Schwassmann,31 de octubre de 1899,Observatorio de Heidelberg-Königstuhl
449,450,Brigitta,M. F. Wolf; F. K. A. Schwassmann,10 de octubre de 1899,Observatorio de Heidelberg-Königstuhl
450,451,Patientia,A. H. Charlois,4 de diciembre de 1899,Observatorio de Niza
451,452,Hamiltonia,J. E. Keeler,6 de diciembre de 1899,"Observatorio Lick, Monte Hamilton"
452,453,Tea,A. H. Charlois,22 de febrero de 1900,Observatorio de Niza
453,454,Mathesis,F. K. A. Schwassmann,28 de marzo de 1900,Observatorio de Heidelberg-Königstuhl
454,455,Bruchsalia,M. F. Wolf; F. K. A. Schwassmann,22 de mayo de 1900,Observatorio de Heidelberg-Königstuhl
455,456,Abnoba,M. F. Wolf; F. K. A. Schwassmann,4 de junio de 1900,Observatorio de Heidelberg-Königstuhl
456,457,Alleghenia,M. F. Wolf; F. K. A. Schwassmann,15 de septiembre de 1900,Observatorio de Heidelberg-Königstuhl
457,458,Hercynia,M. F. Wolf; F. K. A. Schwassmann,21 de septiembre de 1900,Observatorio de Heidelberg-Königstuhl
458,459,Signe,M. F. Wolf,22 de octubre de 1900,Observatorio de Heidelberg-Königstuhl
459,460,Scania,M. F. Wolf,22 de octubre de 1900,Observatorio de Heidelberg-Königstuhl
460,461,Saskia,M. F. Wolf,22 de octubre de 1900,Observatorio de Heidelberg-Königstuhl
461,462,Eriphyla,M. F. Wolf,22 de octubre de 1900,Observatorio de Heidelberg-Königstuhl
462,463,Lola,M. F. Wolf,31 de octubre de 1900,Observatorio de Heidelberg-Königstuhl
463,464,Megaira,M. F. Wolf,9 de enero de 1901,Observatorio de Heidelberg-Königstuhl
464,465,Alekto,M. F. Wolf,13 de enero de 1901,Observatorio de Heidelberg-Königstuhl
465,466,Tisiphone,M. F. Wolf; L. Carnera,17 de enero de 1901,Observatorio de Heidelberg-Königstuhl
466,467,Laura,M. F. Wolf,9 de enero de 1901,Observatorio de Heidelberg-Königstuhl
467,468,Lina,M. F. Wolf,18 de enero de 1901,Observatorio de Heidelberg-Königstuhl
468,469,Argentina,L. Carnera,20 de febrero de 1901,Observatorio de Heidelberg-Königstuhl
469,470,Kilia,L. Carnera,21 de abril de 1901,Observatorio de Heidelberg-Königstuhl
470,471,Papagena,M. F. Wolf,7 de junio de 1901,Observatorio de Heidelberg-Königstuhl
471,472,Roma,L. Carnera,11 de julio de 1901,Observatorio de Heidelberg-Königstuhl
472,473,Nolli,M. F. Wolf,13 de febrero de 1901,Observatorio de Heidelberg-Königstuhl
473,474,Prudentia,M. F. Wolf,13 de febrero de 1901,Observatorio de Heidelberg-Königstuhl
474,475,Ocllo,D. Stewart,14 de agosto de 1901,"Observatorio Boyden, Arequipa"
475,476,Hedwig,L. Carnera,17 de agosto de 1901,Observatorio de Heidelberg-Königstuhl
476,477,Italia,L. Carnera,23 de agosto de 1901,Observatorio de Heidelberg-Königstuhl
477,478,Tergeste,L. Carnera,21 de septiembre de 1901,Observatorio de Heidelberg-Königstuhl
478,479,Caprera,L. Carnera,12 de noviembre de 1901,Observatorio de Heidelberg-Königstuhl
479,480,Hansa,M. F. Wolf; L. Carnera,21 de mayo de 1901,Observatorio de Heidelberg-Königstuhl
480,481,Emita,L. Carnera,12 de febrero de 1902,Observatorio de Heidelberg-Königstuhl
481,482,Petrina,M. F. Wolf,3 de marzo de 1902,Observatorio de Heidelberg-Königstuhl
482,483,Seppina,M. F. Wolf,4 de marzo de 1902,Observatorio de Heidelberg-Königstuhl
483,484,Pittsburghia,M. F. Wolf,29 de abril de 1902,Observatorio de Heidelberg-Königstuhl
484,485,Genua,L. Carnera,7 de mayo de 1902,Observatorio de Heidelberg-Königstuhl
485,486,Cremona,L. Carnera,11 de mayo de 1902,Observatorio de Heidelberg-Königstuhl
486,487,Venetia,L. Carnera,9 de julio de 1902,Observatorio de Heidelberg-Königstuhl
487,488,Kreusa,M. F. Wolf; L. Carnera,26 de junio de 1902,Observatorio de Heidelberg-Königstuhl
488,489,Comacina,L. Carnera,2 de septiembre de 1902,Observatorio de Heidelberg-Königstuhl
489,490,Veritas,M. F. Wolf,3 de septiembre de 1902,Observatorio de Heidelberg-Königstuhl
490,491,Carina,M. F. Wolf,3 de septiembre de 1902,Observatorio de Heidelberg-Königstuhl
491,492,Gismonda,M. F. Wolf,3 de septiembre de 1902,Observatorio de Heidelberg-Königstuhl
492,493,Griseldis,M. F. Wolf,7 de septiembre de 1902,Observatorio de Heidelberg-Königstuhl
493,494,Virtus,M. F. Wolf,7 de octubre de 1902,Observatorio de Heidelberg-Königstuhl
494,495,Eulalia,M. F. Wolf,25 de octubre de 1902,Observatorio de Heidelberg-Königstuhl
495,496,Gryphia,M. F. Wolf,25 de octubre de 1902,Observatorio de Heidelberg-Königstuhl
496,497,Iva,R. S. Dugan,4 de noviembre de 1902,Observatorio de Heidelberg-Königstuhl
497,498,Tokio,A. H. Charlois,2 de diciembre de 1902,Observatorio de Niza
498,499,Venusia,M. F. Wolf,24 de diciembre de 1902,Observatorio de Heidelberg-Königstuhl
499,500,Selinur,M. F. Wolf,16 de enero de 1903,Observatorio de Heidelberg-Königstuhl
500,501,Urhixidur,M. F. Wolf,18 de enero de 1903,Observatorio de Heidelberg-Königstuhl
501,502,Sigune,M. F. Wolf,19 de enero de 1903,Observatorio de Heidelberg-Königstuhl
502,503,Evelyn,R. S. Dugan,19 de enero de 1903,Observatorio de Heidelberg-Königstuhl
503,504,Cora,S. I. Bailey,30 de junio de 1902,"Observatorio Boyden, Arequipa"
504,505,Cava,R. H. Frost,21 de agosto de 1902,"Observatorio Boyden, Arequipa"
505,506,Marion,R. S. Dugan,17 de febrero de 1903,Observatorio de Heidelberg-Königstuhl
506,507,Laodica,R. S. Dugan,19 de febrero de 1903,Observatorio de Heidelberg-Königstuhl
507,508,Princetonia,R. S. Dugan,20 de abril de 1903,Observatorio de Heidelberg-Königstuhl
508,509,Iolanda,M. F. Wolf,28 de abril de 1903,Observatorio de Heidelberg-Königstuhl
509,510,Mabella,R. S. Dugan,20 de mayo de 1903,Observatorio de Heidelberg-Königstuhl
510,511,Davida,R. S. Dugan,30 de mayo de 1903,Observatorio de Heidelberg-Königstuhl
511,512,Taurinensis,M. F. Wolf,23 de junio de 1903,Observatorio de Heidelberg-Königstuhl
512,513,Centesima,M. F. Wolf,24 de agosto de 1903,Observatorio de Heidelberg-Königstuhl
