fecha,siglas,open,high,low,close,volume
2020-10-13,AAPL,125.2700,125.3900,119.6500,121.1000,262330451
2020-10-12,AAPL,120.0600,125.1800,119.2845,124.4000,240226769
2020-10-09,AAPL,115.2800,117.0000,114.9200,116.9700,100506865
2020-10-08,AAPL,116.2500,116.4000,114.5901,114.9700,83477153
2020-10-07,AAPL,114.6200,115.5500,114.1300,115.0800,96848985
2020-10-06,AAPL,115.7000,116.1200,112.2500,113.1600,161498212
2020-10-05,AAPL,113.9100,116.6500,113.5500,116.5000,106243839
2020-10-02,AAPL,112.8900,115.3700,112.2200,113.0200,144711986
2020-10-01,AAPL,117.6400,117.7200,115.8300,116.7900,116120440
2020-09-30,AAPL,113.7900,117.2600,113.6200,115.8100,142675184
2020-09-29,AAPL,114.5500,115.3100,113.5700,114.0900,100060526
2020-09-28,AAPL,115.0100,115.3200,112.7800,114.9600,137672403
2020-09-25,AAPL,108.4300,112.4400,107.6700,112.2800,149981441
2020-09-24,AAPL,105.1700,110.2500,105.0000,108.2200,167743349
2020-09-23,AAPL,111.6200,112.1100,106.7700,107.1200,150718671
2020-09-22,AAPL,112.6800,112.8600,109.1600,111.8100,183055373
2020-09-21,AAPL,104.5400,110.1900,103.1000,110.0800,195713815
2020-09-18,AAPL,110.4000,110.8800,106.0900,106.8400,287104882
2020-09-17,AAPL,109.7200,112.2000,108.7100,110.3400,178010968
2020-09-16,AAPL,115.2300,116.0000,112.0400,112.1300,155026675
2020-09-15,AAPL,118.3300,118.8290,113.6100,115.5400,184642039
2020-09-14,AAPL,114.7200,115.9300,112.8000,115.3550,140150087
2020-09-11,AAPL,114.5700,115.2300,110.0000,112.0000,180860325
2020-09-10,AAPL,120.3600,120.5000,112.5000,113.4900,182274391
2020-09-09,AAPL,117.2600,119.1400,115.2600,117.3200,176940455
2021-02-01,GME,316.5600,322.0000,212.0000,225.0000,37382152
2021-01-29,GME,379.7100,413.9800,250.0000,325.0000,49414294
2021-01-28,GME,265.0000,483.0000,112.2500,193.6000,58815805
2021-01-27,GME,354.8300,380.0000,249.0000,347.5100,90516825
2021-01-26,GME,88.5600,150.0000,80.2000,147.9800,161894423
2021-01-25,GME,96.7300,159.1800,61.1300,76.7900,177874000
2021-01-22,GME,42.5900,76.7573,42.3200,65.0100,194084194
2021-01-21,GME,39.2300,44.7500,37.0000,43.0300,57079754
2021-01-20,GME,37.3700,41.1899,36.0600,39.1200,33471789
2021-01-19,GME,41.5500,45.5200,36.6400,39.3600,74721924
2021-01-15,GME,38.4900,40.7500,34.0100,35.5000,46866358
2021-01-14,GME,38.0900,43.0600,33.0500,39.9100,93717410
2021-01-13,GME,20.4200,38.6500,20.0300,31.4000,143530129
2021-01-12,GME,19.9600,20.4000,19.3168,19.9500,6999775
2021-01-11,GME,19.4100,20.6500,19.0100,19.9400,14927612
2021-01-08,GME,18.1800,18.3000,17.0800,17.6900,6481960
2021-01-07,GME,18.4700,19.4500,18.0200,18.0800,6129276
2021-01-06,GME,17.3400,18.9800,17.3300,18.3600,6056248
2021-01-05,GME,17.3500,18.0765,17.2300,17.3700,4961457
2021-01-04,GME,19.0000,19.1000,17.1500,17.2500,10022474
2020-12-31,GME,19.2500,19.8000,18.8000,18.8400,6922652
2020-12-30,GME,19.3800,20.0000,18.8500,19.2600,5934391
2020-12-29,GME,20.8200,21.0700,18.5600,19.3800,9241441
2020-12-28,GME,21.3100,21.9700,20.3500,20.9900,8924279
2020-12-24,GME,21.0100,21.4800,19.9500,20.1500,6262174
2020-12-23,GME,20.1700,22.3499,19.1300,20.5700,25830256
2020-12-22,GME,16.2200,20.0400,16.1500,19.4600,30687718
2020-12-21,GME,15.8100,16.3480,15.2800,15.5300,9876128
2020-12-18,GME,15.7800,16.3000,15.1800,15.6300,16618776
2020-12-17,GME,13.9600,14.9800,13.5900,14.8300,8194902
2020-12-16,GME,13.9600,14.3050,13.5800,13.8500,5865123
2020-12-15,GME,12.7800,14.0200,12.4800,13.8500,8192856
2020-12-14,GME,13.3400,13.4335,12.1400,12.7200,10007092
2020-12-11,GME,13.9100,14.0000,13.0200,13.3100,7496868
2020-12-10,GME,13.1200,14.4100,13.0500,14.1200,7558922
2020-12-09,GME,13.9200,14.7300,13.2250,13.6600,24357944
2020-12-08,GME,16.3700,17.2100,15.9300,16.9400,16120163
2020-12-07,GME,17.0000,17.5000,16.2200,16.3500,7386258
2020-12-04,GME,16.3000,17.2900,16.2600,16.9000,8972672
2020-12-03,GME,16.4800,16.6400,15.8700,16.1200,6294965
2020-12-02,GME,15.7000,16.6800,15.3800,16.5800,7883380
2020-12-01,GME,17.1100,17.4000,15.7600,15.8000,12260810
2020-11-30,GME,18.1700,19.4200,16.5575,16.5600,31983498
2020-11-27,GME,15.2900,16.7400,14.8800,16.0800,12504197
2020-11-25,GME,13.6000,15.2500,13.4200,14.7500,8860092
2020-11-24,GME,14.2300,14.2600,13.3000,13.6700,7130536
2020-11-23,GME,12.9000,14.1200,12.6700,13.9000,9607973
2020-11-20,GME,12.5500,13.4600,12.5400,12.7100,8402347
2020-11-19,GME,11.6000,12.7900,11.4500,12.4600,11787613
2020-11-18,GME,11.8000,12.0400,11.5600,11.5700,3169222
2020-11-17,GME,11.6500,11.9200,11.2300,11.6300,6678176
2020-11-16,GME,11.1600,12.6602,10.7200,12.0600,9774824
2020-11-13,GME,11.3600,11.5500,11.0000,11.0100,3546171
2020-11-12,GME,11.7400,11.8700,10.9700,11.1300,4355892
2020-11-11,GME,11.5000,11.9500,11.2100,11.7500,4882569
2020-11-10,GME,11.5000,11.6600,10.8300,11.1000,3825963
2020-11-09,GME,12.7600,12.9300,11.2500,11.4900,6244865
2020-11-06,GME,11.5200,12.1700,11.3200,11.8600,5518243
2020-11-05,GME,11.2700,11.8400,11.0600,11.4500,4705245
2020-11-04,GME,11.7600,11.7699,10.6100,10.9100,5807871
2020-11-03,GME,10.7500,11.8600,10.6300,11.5700,7454472
2020-11-02,GME,10.8200,11.0900,10.5000,10.7500,5227011
2020-10-30,GME,11.6400,11.6400,10.3600,10.4700,11562367
2020-10-29,GME,11.8800,12.2500,11.6801,11.7300,4165843
2020-10-28,GME,12.2700,13.0500,11.7800,11.8200,6388580
2020-10-27,GME,13.7100,13.7100,12.3600,12.6900,7231006
2020-10-26,GME,14.9300,15.4500,13.2600,13.4500,13376269
2020-10-23,GME,15.0500,15.3800,14.5500,15.0000,6507324
